Name,Title,Name_ko,Title_ko,Name_zh,Title_zh,Name_ja,Title_ja,Name_es,Title_es,Description,Rarity,Element,Effect_type,Description_en,Description_zh,Description_ja,Description_es,no
Ignis of Execution,First Strike,집행의 불꽃,첫 번째 타격,执行之火,第一击,執行の焔,先制攻撃,Fuego de Ejecución,Primer Golpe,"미루고 싶은 심리를 완전히 태워버리고, 생각한 즉시 몸이 움직이게 만드는 강제 집행력을 부여하여 하루의 생산성을 물리적으로 2배 이상 끌어올립니다.",common,fire,"(열정, 지배, 폭발적 추진력)","Completely burns away the urge to procrastinate and grants the power of immediate action, physically doubling your daily productivity.",彻底消除拖延心理，赋予立刻行动的执行力，使每日生产力物理性提高两倍以上。,先延ばしにしたい心理を完全に焼き払い、考えた瞬間に体が動く強制執行力を与え、一日の生産性を物理的に2倍以上に引き上げます。,"Elimina por completo el deseo de procrastinar y otorga el poder de la acción inmediata, duplicando físicamente tu productividad diaria.",1
Embers of Social Warmth,Networking Spark,사교의 온기,인맥의 불꽃,社交温情之烬,社交火花,社交の温もりの残り火,交流の火種,Brasas de Calor Social,Chispa de Networking,"처음 만난 차가운 분위기의 상대라도 소지자에게 호감을 느끼게 하는 따뜻한 아우라를 방출하며, 어색한 대화를 화기애애한 비즈니스 기회로 전환합니다.",common,fire,"(열정, 지배, 폭발적 추진력)","Releases a warm aura that makes even a cold stranger feel favor toward the holder, turning awkward conversations into friendly business opportunities.",即使是初次见面的冷淡之人，也会散发出让对方产生好感的温暖气息，将尴尬的对话转变为愉快的商务机会。,初めて会った冷ややかな雰囲気の相手でも、持ち主に好感を感じさせる温かいオーラを放出し、ぎこちない会話を和やかなビジネスチャンスへと転換します。,"Libera un aura cálida que hace que incluso un extraño frío sienta simpatía por el poseedor, convirtiendo conversaciones incómodas en oportunidades de negocio amigables.",2
Flicker of Daily Focus,Brief Intensity,일상 집중의 흔들림,짧은 강렬함,일상专注지점 (日常专注之光),短促强度,日常集中の揺らぎ,短き強烈さ,Destello de Enfoque Diario,Intensidad Breve,30분이라는 짧은 시간 동안 뇌를 풀가동시켜 고난도의 작업을 완수하게 돕습니다. 집중력이 흩어질 때마다 심장을 자극해 몰입의 상태로 되돌립니다.,common,fire,"(열정, 지배, 폭발적 추진력)","Fully activates the brain for a short 30-minute burst to complete high-difficulty tasks, stimulating the heart to return to flow state whenever focus wavers.",在30分钟的短时间内全速运转大脑以完成高难度任务，每当注意力分散时便刺激心脏，使其回到沉浸状态。,30分という短い時間、脳をフル稼働させて高難易度の作業を完遂するのを助けます。集中力が切れるたびに心臓を刺激し、没頭の状態へと戻します。,"Activa completamente el cerebro durante un corto período de 30 minutos para completar tareas de alta dificultad, estimulando el corazón para volver al estado de flujo cada vez que la concentración decae.",3
Blaze of Trendsetting,Viral Ignition,유행 선도의 화염,확산의 점화,领潮之焰,病毒式点燃,流行先導の炎,拡散の着火,Llama de Tendencias,Ignición Viral,소지자가 제안하는 아이디어나 기획이 유행의 불씨가 되어 시장에 번져나가게 합니다. 대중의 욕망을 정확히 타격하여 소수의 지지를 거대한 팬덤으로 확장합니다.,uncommon,fire,"(열정, 지배, 폭발적 추진력)","Turns the holder's ideas or plans into a trend that spreads through the market, targeting public desire to expand small support into a massive fandom.",持有者提出的创意或策划将成为流行的火种并传遍市场，精准打击大众欲望，将少数支持扩展为巨大的粉丝群。,持ち主が提案するアイデアや企画が流行の火種となり、市場に広がっていきます。大衆の欲望を正確に射抜き、少数の支持を巨大なファンダムへと拡張します。,"Convierte las ideas o planes del poseedor en la chispa de una tendencia que se extiende por el mercado, apuntando con precisión al deseo del público para expandir un pequeño apoyo en un fandom masivo.",4
Scarlet Decision Stone,Iron Will,진홍빛 결단석,강철의 의지,绯红决断石,钢铁意志,深紅の決断石,鋼の意志,Piedra de Decisión Escarlata,Voluntad de Hierro,수만 가지 선택지 앞에서도 망설임 없이 가장 이익이 큰 길을 선택할 확신을 줍니다. 우유부단함으로 인해 발생하는 시간 낭비와 기회비용을 0으로 만듭니다.,uncommon,fire,"(열정, 지배, 폭발적 추진력)","Gives the confidence to choose the most profitable path without hesitation among tens of thousands of options, reducing time waste to zero.",在成千上万个选项面前，也能毫不犹豫地选择利益最大的道路，将因优柔寡断导致的时间浪费和机会成本降为零。,数万もの選択肢の前でも迷わず最も利益の大きい道を選ぶ確信を与えます。優柔不断さによって発生する時間の浪費と機会費用をゼロにします。,"Otorga la confianza necesaria para elegir el camino más rentable sin vacilación, incluso ante decenas de miles de opciones, reduciendo a cero el desperdicio de tiempo.",5
Heat of Peak Vigor,Stamina Surge,정점 활력의 열기,지구력의 파동,巅峰活力之热,耐力飙升,頂点の活熱,スタミナサージ,Calor de Vigor Máximo,Oleada de Estamina,밤샘 작업이나 극한의 체력 소모 상황에서도 몸이 타오르는 듯한 에너지를 공급받습니다. 카페인 없이도 24시간 동안 최상의 컨디션을 유지하며 경쟁자를 압도합니다.,uncommon,fire,"(열정, 지배, 폭발적 추진력)","Supplies burning energy even during overnight work or extreme physical exhaustion, maintaining peak condition for 24 hours without caffeine.",即使在熬夜工作或体力消耗极大的情况下，也能获得如同燃烧般的能量，无需咖啡因即可24小时保持最佳状态。,徹夜作業や極限の体力消耗時でも、体が燃え上がるようなエネルギーを供給されます。カフェインなしでも24時間最高のコンディションを維持し、競争相手を圧倒します。,"Suministra una energía ardiente incluso durante trabajos nocturnos o agotamiento físico extremo, manteniendo una condición óptima durante 24 horas sin cafeína.",6
Pyre of Persuasion,Orator’s Soul,설득의 장작,웅변가의 혼,说服之火,演说家之魂,説得の火葬,弁論家の魂,Pira de Persuasión,Alma de Orador,소지자의 목소리에 청중의 이성을 마비시키는 열정을 담습니다. 불가능해 보였던 투자 유치나 반대파의 설득을 한 번의 연설로 완벽하게 해결하는 권능을 줍니다.,rare,fire,"(열정, 지배, 폭발적 추진력)","Infuses the holder's voice with a passion that paralyzes the audience's logic, resolving impossible investment pitches or opposition with a single speech.",持有者的声音中蕴含着麻痹听众理性的热情，通过一次演讲完美解决看似不可能的投资引进或说服工作。,持ち主の声に聴衆の理性を麻痺させる情熱を込め、不可能に見えた投資誘致や反対派の説得を、一度の演説で完璧に解決します。,"Infunde la voz del poseedor con una pasión que paraliza la lógica de la audiencia, resolviendo presentaciones de inversión o persuasión de oponentes con un solo discurso.",7
Lava-Glass of Ambition,Visionary Flare,야망의 용암유리,선견지명의 섬광,野心熔岩玻璃,远见闪光,野望の溶岩ガラス,先見の閃光,Vidrio de Lava de Ambición,Destello Visionario,"현실에 안주하려는 나약함을 태우고, 더 높은 지위와 권력을 향한 끝없는 갈망을 현실적인 전략으로 변모시켜 소지자를 조직의 최정점으로 이끕니다.",rare,fire,"(열정, 지배, 폭발적 추진력)",Burns away the weakness of settling for reality and transforms the endless thirst for higher status and power into realistic strategies for growth.,燃烧掉安于现状的软弱，将对更高地位和权力的无尽渴望转化为现实的增长战略。,現実に安住しようとする弱さを焼き、より高い地位と権力への終わりのない渇望を現実的な成長戦略へと変えます。,Quema la debilidad de conformarse con la realidad y transforma la sed infinita de mayor estatus y poder en estrategias realistas de crecimiento.,8
Volcano of Creativity,Idea Eruption,창의의 화산,아이디어의 분출,创意火山,灵感爆发,創造の火山,アイデアの噴火,Volcán de Creatividad,Erupción de Ideas,"뇌 속에 막혀 있던 창의적 회로를 폭발시켜, 기존에 없던 혁신적인 비즈니스 모델이나 예술적 영감을 매일 수십 개씩 쏟아내게 하는 창조의 원천이 됩니다.",rare,fire,"(열정, 지배, 폭발적 추진력)","Explodes the creative circuits in the brain, allowing the holder to design innovative business models or artistic masterpieces that never existed before.",引爆大脑中堵塞的创意回路，设计出以往不存在的创新商业模式或艺术杰作。,脳内で詰まっていた創造的な回路を爆発させ、これまでにない革新的なビジネスモデルや芸術的傑作を設計させます。,"Explota los circuitos creativos bloqueados en el cerebro, permitiendo al poseedor diseñar modelos de negocio innovadores u obras maestras artísticas.",9
Inferno of Executive Power,Strategic Alignment,집행권의 인페르노,전략적 동기화,执行权之火狱,战略协作,執行権の烈火,戦略的同期,Infierno de Poder Ejecutivo,Sincronización Estratégica,조직 구성원들이 공통의 목표에 자발적으로 몰입하게 만드는 강력한 리더십을 부여합니다. 비전만으로 팀을 하나로 묶습니다.,epic,fire,"(열정, 지배, 폭발적 추진력)",Inspires team members to voluntarily align with and commit to shared goals through visionary leadership.,赋予领导力，激发团队成员自发地对齐并致力于共同目标。,ビジョンを通じてチームメンバーが自発的に共通の目標に邁進できるよう導くリーダーシップを付与します。,Inspira a los miembros del equipo a alinearse voluntariamente con objetivos compartidos mediante un liderazgo visionario.,10
Sunlight of Market Dominance,Market Beacon,시장 지배의 태양광,시장의 이정표,市场支配之光,市场标杆,市場支配の陽光,市場の道標,Luz de Dominio de Mercado,Faro del Mercado,소지자의 브랜드가 업계의 표준이 되어 대중의 신뢰를 얻고 지속 가능한 시장 성장을 선도하게 합니다.,epic,fire,"(열정, 지배, 폭발적 추진력)","Makes the brand an industry standard, earning public trust and leading sustainable market growth.",使品牌成为行业标准，赢得公众信任并引领市场的可持续增长。,ブランドを業界標準へと押し上げ、公衆の信頼を獲得し、持続可能な市場成長を牽引します。,"Convierte la marca en un estándar de la industria, ganando la confianza del público y liderando el crecimiento sostenible.",11
Phoenix Heart of Rebirth,Infinite Resurgence,재탄생의 불사조 심장,무한한 부활,重生凤凰之心,无限复苏,再生の不死鳥の心臓,無限の復活,Corazón de Fénix de Renacimiento,Resurgimiento Infinito,"완전히 파산하거나 사회적 지위가 바닥으로 추락해도, 그 실패를 자양분 삼아 이전보다 100배 거대한 제국을 재건할 수 있는 신적인 회복력과 역전의 기회를 강제로 만듭니다.",legendary,fire,"(열정, 지배, 폭발적 추진력)","Even if completely bankrupt or fallen to the bottom, uses failure as nourishment to achieve a comeback 100 times greater than before.",即使完全破产或社会地位跌至谷底，也会将失败作为养分，实现比以前强大100倍的‘大逆转’。,完全に破産したり社会的地位が底に落ちたりしても、その失敗を糧にして以前より100倍強力な「大逆転」を成し遂げさせます。,"Incluso en la bancarrota total, utiliza el fracaso como alimento para lograr un regreso 100 veces más poderoso que antes.",12
Primeval Nova Core,Hurdle Breakthrough,태고의 신성 핵,장벽 돌파,太古新星核,突破障碍,太古の新星の核,障害突破,Núcleo de Nova Primordial,Superación de Obstáculos,"목표 달성을 가로막는 복잡한 시스템적, 환경적 장애물을 창의적인 해법으로 돌파하는 강력한 추진력을 줍니다.",legendary,fire,"(열정, 지배, 폭발적 추진력)",Provides powerful momentum to break through complex systemic or environmental hurdles with creative solutions.,提供强大的动力，通过创意方案突破复杂的系统或环境障碍。,複雑なシステムや環境の障害を、独創的な解決策で突破するための強力な推進力を提供します。,Proporciona un impulso poderoso para superar obstáculos sistémicos o ambientales complejos con soluciones creativas.,13
Dewdrop of Calm,Anxiety Wash,평온의 이슬,불안의 세척,宁静露珠,洗涤焦虑,平穏の露,不安の洗浄,Gota de Calma,Lavado de Ansiedad,"가슴을 조여오는 면접이나 중요한 미팅 전, 모든 긴장감을 씻어내고 깊은 호수처럼 평온한 상태를 유지하여 평소 실력의 120%를 발휘하게 합니다.",common,water,"(지혜, 정화, 유연한 적응)","Washes away all tension before an interview or important meeting, bringing a state of calmness as deep as a serene lake.",在令人紧张的面试或重要会议前，洗净所有紧张感，进入如深湖般宁静的状态。,緊張する面接や重要なミーティングの直前、すべての緊張感を洗い流し、深い湖のような平穏な状態を作ります。,"Elimina toda la tensión antes de una entrevista o reunión importante, brindando un estado de calma tan profundo como un lago sereno.",14
Mist of Subtle Favor,Fluid Charm,은은한 호의의 안개,유연한 매력,柔情之雾,柔化魅力,仄かな好意の霧,しなやかな魅力,Niebla de Favor Sutil,Encanto Fluido,물안개처럼 자연스럽게 주변에 스며들어 비호감이었던 인상조차 긍정적으로 바꿉니다. 사람들이 자신도 모르게 소지자의 편을 들게 만드는 부드러운 유인력을 가집니다.,common,water,"(지혜, 정화, 유연한 적응)","Naturally permeates surroundings like mist, changing unfavorable impressions into positive ones, making people want to stay by your side.",像水雾一样自然地融入周围，即使是负面印象也能转化为正面评价，让人想长久地留在持有者身边。,霧のように自然に周囲に染み込み、悪い印象さえもポジティブに変えます。人々が持ち主のそばに長く留まりたがるようになります.,"Se infiltra naturalmente en el entorno como la niebla, cambiando impresiones desfavorables por positivas y atrayendo a las personas.",15
Ripple of Intuition,Gut Feeling,직관의 파동,본능적 감각,直觉波动,本能直觉,直感の波動,本能の直感,Ondulación de Intuición,Corazonada,주식 차트나 계약서의 미세한 위화감을 파동으로 느껴 사전에 피해를 막아줍니다. 논리적인 이유를 알기 전에도 몸이 먼저 위험을 감지해 소지자를 보호합니다.,common,water,"(지혜, 정화, 유연한 적응)","Allows the holder to feel subtle anomalies in charts or contracts as vibrations, preventing losses through intuition beyond logic.",通过波动感受股票图表或合同中的细微违和感，通过超越逻辑推理的直觉预先防止损失。,株価チャートや契約書の微細な違和感を波動として感じ取り、事前に被害を防ぎます。論理的な推論を超えた直感で損失を避けます。,"Permite sentir anomalías sutiles en gráficos o contratos como vibraciones, previniendo pérdidas mediante una intuición más allá de la lógica.",16
Stream of Eloquence,Silver Tongue,웅변의 흐름,유려한 말솜씨,雄辩之流,伶牙俐齿,雄弁の流れ,立て板に水,Corriente de Elocuencia,Lengua de Plata,"막힌 대화를 물 흐르듯 유연하게 풀어냅니다. 어떤 까다로운 질문에도 재치 있게 응대하며, 상대방의 기분을 거스르지 않으면서 자신이 원하는 결론으로 유도합니다.",uncommon,water,"(지혜, 정화, 유연한 적응)","Unravels blocked conversations as smoothly as flowing water, responding to difficult questions with wit and capturing hearts with humor.",像流水一样顺畅地化解受阻的对话，机智地应对任何刁钻的问题，用幽默感俘获对方的心。,滞った会話を水が流れるようにしなやかに解きほぐします。どんな気難しい質問にも機転を利かせて応対し、ユーモアで相手の心を掴みます。,"Desenreda conversaciones bloqueadas con fluidez, respondiendo a preguntas difíciles con ingenio y capturando corazones con humor.",17
Aquamarine Clarity,Logic Filter,청람빛 명료함,논리 필터,澄澈青晶,逻辑过滤,澄み渡る青藍,論理フィルター,Claridad de Aguamarina,Filtro de Lógica,복잡하게 꼬인 감정 덩어리에서 이성적인 팩트만을 걸러내어 보여줍니다. 연인 관계나 비즈니스 갈등에서 감정 소모 없이 가장 합리적인 해결책을 도출하게 합니다.,uncommon,water,"(지혜, 정화, 유연한 적응)","Filters out only rational facts from complex emotions, providing cold and accurate solutions to relationships or business conflicts.",从错综复杂的情感纠结中筛选出理性的事实，为恋人关系或商务冲突提供冷静而准确的解决方案。,複雑に絡まった感情の塊から理性的な事実だけを濾し取って見せます。ビジネスや対人関係の葛藤において、冷徹で正確な解決策を提示します。,"Filtra solo los hechos racionales de emociones complejas, proporcionando soluciones precisas para conflictos de pareja o negocios.",18
Rain of Productivity,Task Flow,생산성의 비,작업 흐름,生产力之雨,任务流转,生産性の雨,タスクフロー,Lluvia de Productividad,Flujo de Tareas,쏟아지는 업무들을 하나씩 순차적으로 처리하는 최적의 리듬을 부여합니다. 마치 비가 내리듯 자연스럽게 할 일을 마무리지어 퇴근 시간을 2시간 이상 앞당깁니다.,uncommon,water,"(지혜, 정화, 유연한 적응)","Grants an optimal rhythm to handle pouring tasks one by one, allowing work to be completed quickly and perfectly like falling rain.",赋予按顺序处理繁杂任务的最佳节奏，使工作像降雨一样迅速而完美地完成。,押し寄せる業務を一つずつ順次処理する最適なリズムを与えます。まるで雨が降るように、迅速かつ完璧に仕事が片付いていきます。,"Otorga un ritmo óptimo para manejar tareas una por una, permitiendo que el trabajo se complete rápida y perfectamente.",19
Glacier of Self-Control,Stoic Aegis,자제력의 빙하,스토아의 방패,自制力冰川,禁欲之盾,自制の氷河,ストア派の盾,Glaciar de Autocontrol,Egida Estoica,"지름신, 폭식, 게임 중독 등 순간적인 충동을 얼음처럼 얼려버립니다. 철저한 자기 객관화를 통해 자신의 삶을 완벽하게 통제하는 냉철한 관리자로 거듭나게 합니다.",rare,water,"(지혜, 정화, 유연한 적응)","Freezes momentary impulses like shopping sprees or addictions like ice, maintaining iron-willed self-control through self-objectification.",将购物冲动、暴饮暴食、游戏成瘾等瞬间冲动像冰块一样冻结，通过彻底的自我客体化维持钢铁般的自我控制。,衝動買い、暴食、ゲーム依存などの瞬間的な衝動を氷のように凍らせます。徹底した自己客観化を通じて、鉄のような自己コントロール力を維持します。,"Congela impulsos momentáneos como compras compulsivas o adicciones, manteniendo un autocontrol de hierro mediante la auto-objetivación.",20
Tidal Shift Crystal,Trend Surfing,조수의 변화 수정,트렌드 서핑,潮汐转换水晶,趋势冲浪,潮流変化の晶石,トレンドサーフィン,Cristal de Cambio de Marea,Surf de Tendencias,시대의 흐름이 어디로 바뀌는지 남들보다 반 박자 빠르게 파악하게 합니다. 거대한 변화의 파도에 휩쓸리는 대신 그 위에 올라타 부와 명성을 독식하게 돕니다.,rare,water,"(지혜, 정화, 유연한 적응)","Enables the holder to grasp the direction of the era's trends half a beat faster than others, riding the giant wave of change.",比他人领先半拍掌握时代潮流的走向，搭乘巨大的变化浪潮，获得先发优势的利润。,時代の流れがどこへ変わるのか、他人より半歩早く把握させます。巨大な変化の波に乗り、先行者利益を独占する洞察力を与えます。,"Permite captar la dirección de las tendencias de la época medio paso más rápido que los demás, cabalgando la gran ola del cambio.",21
Source of Vitality,Peak Recovery,생명력의 근원,최상의 회복력,活力源泉,巅峰恢复,活力の源,最高の回復力,Fuente de Vitalidad,Recuperación Máxima,일상에서 쌓인 피로를 효율적으로 관리하여 짧은 휴식으로도 최상의 컨디션과 맑은 정신을 유지하게 돕습니다.,rare,water,"(지혜, 정화, 유연한 적응)","Efficiently manages daily fatigue, restoring peak vitality and mental clarity through optimal recovery sessions.",有效管理日常疲劳，通过优化的恢复过程恢复巅峰活力和清醒头脑。,日々の疲労を効率的に管理し、短い休息でも最高のコンディションと明晰な精神状態を維持します。,"Gestiona eficientemente la fatiga diaria, restaurando la vitalidad máxima y la claridad mental mediante la recuperación.",22
Deep Sea of Secrets,Absolute Privacy,비밀의 심해,완벽한 보안,秘密深海,绝对隐私,秘密の深海,完璧なセキュリティ,Mar Profundo de Secretos,Privacidad Absoluta,소지자의 소중한 정보와 데이터 자산을 외부 위협으로부터 철저히 보호하여 어떤 환경에서도 완벽한 보안을 유지합니다.,epic,water,"(지혜, 정화, 유연한 적응)","Strictly protects valuable information and data assets from external threats, ensuring ironclad privacy.",严密保护宝贵的信息和数据资产免受外部威胁，确保无懈可击的隐私。,貴重な情報やデータ資産を外部の脅威から厳重に保護し、いかなる環境でも完璧なセキュリティを維持します。,"Protege estrictamente la información valiosa y los activos de datos contra amenazas externas, asegurando la privacidad.",23
Vortex of Wealth Flow,Cash Magnet,부의 흐름 소용돌이,현금 마그넷,财富流涡旋,现金磁石,富の流転の渦,キャッシュマグネット,Vórtice de Flujo de Riqueza,Imán de Efectivo,"정체된 자산 흐름을 소지자를 중심으로 회전시킵니다. 전 세계의 돈이 소지자의 계좌로 흘러들어오는 통로를 개척하며, 쓰면 쓸수록 더 큰 돈이 들어오는 풍요의 소용돌이를 만듭니다.",epic,water,"(지혜, 정화, 유연한 적응)","Rotates stagnant asset flows around the holder, causing the world's money to flow naturally into the holder's account as if drawn by a magnet.",让停滞的资产流以持有者为中心旋转，使全世界的金钱像被磁铁吸引一样自然地流入持有者的账户。,停滞した資産の流れを持ち主を中心に回転させます。全世界のお金が磁石に吸い寄せられるように、自然と持ち主の口座へ流れ込みます。,"Hace girar los flujos de activos estancados alrededor del poseedor, atrayendo el dinero del mundo hacia su cuenta como un imán.",24
